section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,OnePlus,,,3607223.0,0.022645074482246137
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Oppo,,,18090143.0,0.11356454414642055
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Others,,,15249733.0,0.09573329389931445
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Realme,,,7851606.0,0.049290050178558587
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Samsung,,,32271518.0,0.2025910038733804
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Vivo,,,25597791.0,0.16069532817238352
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,Xiaomi,,,41454122.0,0.26023666412808916
aggregated,user,country,india,,2019,3,2019-Q3,data/aggregated/user/country/india/2019/3.json,,,,,159293934.0,3448366103.0,,
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Apple,,,5361581.0,0.030074088612245232
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Huawei,,,3492460.0,0.01958984700869426
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Lenovo,,,3062118.0,0.01717598000909641
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Motorola,,,4494286.0,0.02520927230471258
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,OnePlus,,,3833328.0,0.02150183797499297
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Oppo,,,20682715.0,0.11601313188252003
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Others,,,16521798.0,0.09267378728132916
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Realme,,,9177720.0,0.051479510341888954
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Samsung,,,35921409.0,0.2014897541122112
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Vivo,,,29444698.0,0.16516069734147446
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,Xiaomi,,,46286972.0,0.25963209313083474
aggregated,user,country,india,,2019,4,2019-Q4,data/aggregated/user/country/india/2019/4.json,,,,,178279085.0,4301071954.0,,
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Apple,,,5755009.0,0.02912820054650189
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Huawei,,,3850925.0,0.019490936623997944
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Lenovo,,,3276777.0,0.01658496408991972
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Motorola,,,4756036.0,0.02407203366917109
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,OnePlus,,,4027133.0,0.020382789610135413
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Oppo,,,23375458.0,0.11831172262116912
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Others,,,17812940.0,0.09015778926545646
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Realme,,,10582375.0,0.05356126137392451
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Samsung,,,39560399.0,0.20022961489228475
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Vivo,,,33573609.0,0.1699282861281087
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,Xiaomi,,,51004503.0,0.2581524011793304
aggregated,user,country,india,,2020,1,2020-Q1,data/aggregated/user/country/india/2020/1.json,,,,,197575164.0,4768944662.0,,
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Apple,,,6099798.0,0.02785342618030953
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Huawei,,,4210805.0,0.01922774266085176
