section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,transaction,country,india,,2020,3,2020-Q3,data/aggregated/transaction/country/india/2020/3.json,Recharge & bill payments,436172619,204262355709.72183,,,,,
aggregated,transaction,country,india,,2020,4,2020-Q4,data/aggregated/transaction/country/india/2020/4.json,Financial Services,2942567,3259168195.749941,,,,,
aggregated,transaction,country,india,,2020,4,2020-Q4,data/aggregated/transaction/country/india/2020/4.json,Merchant payments,1127490136,684873639322.252,,,,,
aggregated,transaction,country,india,,2020,4,2020-Q4,data/aggregated/transaction/country/india/2020/4.json,Others,9556404,5323095366.309718,,,,,
aggregated,transaction,country,india,,2020,4,2020-Q4,data/aggregated/transaction/country/india/2020/4.json,Peer-to-peer payments,1249512647,4474548495095.518,,,,,
aggregated,transaction,country,india,,2020,4,2020-Q4,data/aggregated/transaction/country/india/2020/4.json,Recharge & bill payments,479784084,227875840842.1121,,,,,
aggregated,transaction,country,india,,2021,1,2021-Q1,data/aggregated/transaction/country/india/2021/1.json,Financial Services,3075296,3573884778.5300817,,,,,
aggregated,transaction,country,india,,2021,1,2021-Q1,data/aggregated/transaction/country/india/2021/1.json,Merchant payments,1467948823,844466633896.8679,,,,,
aggregated,transaction,country,india,,2021,1,2021-Q1,data/aggregated/transaction/country/india/2021/1.json,Others,8851525,5199901891.8900385,,,,,
aggregated,transaction,country,india,,2021,1,2021-Q1,data/aggregated/transaction/country/india/2021/1.json,Peer-to-peer payments,1447600942,5170856441552.582,,,,,
aggregated,transaction,country,india,,2021,1,2021-Q1,data/aggregated/transaction/country/india/2021/1.json,Recharge & bill payments,530118545,260182440730.4327,,,,,
aggregated,transaction,country,india,,2021,2,2021-Q2,data/aggregated/transaction/country/india/2021/2.json,Financial Services,3397384,3651996523.4499955,,,,,
aggregated,transaction,country,india,,2021,2,2021-Q2,data/aggregated/transaction/country/india/2021/2.json,Merchant payments,1499626469,1003530942287.5988,,,,,
aggregated,transaction,country,india,,2021,2,2021-Q2,data/aggregated/transaction/country/india/2021/2.json,Others,9061732,5598131364.820071,,,,,
aggregated,transaction,country,india,,2021,2,2021-Q2,data/aggregated/transaction/country/india/2021/2.json,Peer-to-peer payments,1744272888,6163165772736.494,,,,,
aggregated,transaction,country,india,,2021,2,2021-Q2,data/aggregated/transaction/country/india/2021/2.json,Recharge & bill payments,685024821,300559461295.9022,,,,,
aggregated,transaction,country,india,,2021,3,2021-Q3,data/aggregated/transaction/country/india/2021/3.json,Financial Services,3112160,4043342762.3300233,,,,,
aggregated,transaction,country,india,,2021,3,2021-Q3,data/aggregated/transaction/country/india/2021/3.json,Merchant payments,2316924871,1426965558783.5557,,,,,
