metric,category,count,amount,section,dtype,map_kind,geo_level,geo_name,year,quarter,registeredUsers,appOpens,brand,brand_count,brand_pct,name,level,period,geo,section_type
transactions,Recharge & bill payments,5383505.0,1662189124.4177454,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Merchant payments,2392184.0,2466913305.59039,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Financial Services,29764.0,32314809.975261033,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Others,79523.0,51901628.46643049,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Peer-to-peer payments,23163922.0,99873688132.9031,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Recharge & bill payments,13837430.0,3680590624.9006104,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Merchant payments,7822567.0,5562692116.5708065,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Financial Services,57233.0,23954789.407903705,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Others,200663.0,115927863.46366584,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Peer-to-peer payments,26572651.0,116244368941.33606,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Recharge & bill payments,19522564.0,5642294772.453551,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Merchant payments,7011681.0,6760404421.62296,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Financial Services,73119.0,54077813.2606806,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Others,206727.0,105377680.17075577,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Peer-to-peer payments,37294332.0,153664683751.53278,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Recharge & bill payments,19027978.0,6313780616.601829,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Merchant payments,14777337.0,13111735855.02769,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Financial Services,104135.0,81355476.16367023,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Others,299966.0,157309412.49242482,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Peer-to-peer payments,49432098.0,208484557891.42865,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Merchant payments,26750991.0,23185594534.30522,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Recharge & bill payments,19908687.0,6926960996.688756,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Financial Services,119416.0,100785736.00790763,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Others,380481.0,207713978.04223877,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Peer-to-peer payments,1087401.0,4421372542.468033,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Merchant payments,764832.0,438193845.4527705,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
